,income
233,55300
234,47800
235,51200
236,38100
237,54500
238,59200
239,55800
240,60800
241,68200
242,63400
243,59300
244,35300
245,61100
246,60400
247,52500
248,34300
249,39600
250,66700
251,34600
252,56000
253,62600
254,70500
255,55800
256,60400
257,56300
258,36100
259,45800
260,50700
261,49100
262,46900
263,60300
264,63300
265,37900
266,60500
267,55700
268,55400
269,55700
270,49500
271,60100
272,59700
273,49100
274,59400
275,53300
276,66700
277,68700
278,58000
279,39500
280,44600
281,19400
282,41600
283,55400
284,42200
285,65500
286,59600
287,59800
288,58800
289,52400
290,37500
291,39900
292,62600
293,52300
294,45400
295,45600
296,56600
297,47500
298,27900
299,34600
300,57800
301,59900
302,59100
303,53600
304,41200
305,53500
306,52500
307,57100
308,40300
309,54900
310,27100
311,51200
312,47500
313,43400
314,46100
315,55100
316,26800
317,27800
318,55200
319,59100
320,60400
321,58700
322,39700
323,37800
324,38000
325,59600
326,38000
327,60100
328,56600
329,63600
330,56000
331,55600
332,63400
333,54500
334,36000
335,53900
336,58200
337,59200
338,47200
339,44600
340,50100
341,51400
342,49100
343,63400
344,32100
345,52100
346,45600
347,54800
348,59300
349,50900
350,43800
351,28200
352,23700
353,57000
354,30100
355,48800
356,44800
357,48300
358,45000
359,48200
360,30600
361,34300
362,51300
363,57900
364,54100
365,58900
366,66900
367,41500
368,49500
369,65500
370,58700
371,60000
372,19200
373,61000
374,45700
375,60500
376,37000
377,56200
378,54600
379,39800
380,60000
381,45600
382,62600
383,59200
384,43000
385,35200
386,62000
387,70800
388,50800
389,43500
390,30000
391,50500
392,26800
393,56600
394,68700
395,36200
396,29200
397,57600
398,46600
399,56000
400,40100
401,39300
402,52600
403,35200
404,50900
405,52900
406,37200
407,51300
408,34800
409,55800
410,42500
411,33100
412,42200
413,60400
414,62500
415,42900
416,45900
417,42400
418,49300
419,59000
420,55200
421,37800
422,56200
423,59300
424,57600
425,40700
426,45900
427,38000
428,59800
429,30800
430,64000
431,57100
432,58000
433,56600
434,53700
435,37500
436,34600
437,55200
438,52500
439,52100
440,55600
441,57800
442,51900
443,49500
444,49100
445,51400
446,43000
447,45000
448,49500
449,59500
450,48000
451,38900
452,34700
453,61200
454,54000
455,55400
456,52600
457,57400
458,61800
459,54900
460,55900
461,70500
462,52000
463,63700
464,56400
465,63400
466,64700
467,57300
468,55000
469,46800
470,54800
471,3800
472,30000
473,40600
474,58300
475,62500
476,33500
477,48000
478,54300
479,32300
480,59500
481,31700
482,37400
483,40600
484,64900
485,60100
486,50800
487,61500
488,46100
489,37700
490,48800
491,59400
492,56700
493,70500
494,60500
495,61600
496,50600
497,35900
498,55700
499,51900
500,61700
501,50100
502,52800
503,50100
504,60100
505,63700
506,43000
507,44400
508,56400
509,46700
510,31900
511,60700
512,58600
513,59100
514,56100
515,73300
516,50500
517,45200
518,55000
519,62400
520,58100
521,41300
522,38700
523,48600
524,54100
525,44500
526,40500
527,56600
528,50500
529,34300
530,56500
531,57300
532,59600
533,33200
534,53900
535,65700
536,52200
537,58200
538,33300
539,47700
540,59300
541,55600
542,59100
543,61800
544,46000
545,36200
546,45700
547,52700
548,60500
549,47200
550,46600
551,47000
552,67100
553,69400
554,39000
555,53600
556,51300
557,39800
558,55100
559,52600
560,47400
561,59100
562,48100
563,61900
564,57600
565,49300
566,61000
567,64000
568,52700
569,34700
570,56400
571,65800
572,69200
573,61500
574,60700
575,50600
576,53900
577,61500
578,42300
579,58400
580,54300
581,53500
582,6800
583,51900
584,25700
585,46700
586,51200
587,42500
588,19800
589,51500
590,46300
591,47000
592,55700
593,40800
594,48200
595,62200
596,37400
597,36600
598,45500
599,42200
600,57200
601,20300
602,61300
603,58300
604,62800
605,37900
606,55100
607,53900
608,39900
609,59500
610,52400
611,59100
612,42700
613,44200
614,40500
615,45600
616,47800
617,40500
618,64800
619,62100
620,47200
621,30400
622,49300
623,58800
624,26900
625,56100
626,21100
627,37700
628,55000
629,62700
630,32000
631,57200
632,57900
633,64500
634,47400
635,51900
636,59200
637,60900
638,59400
639,56400
640,51200
641,60800
642,49900
643,44800
644,62200
645,41400
646,66500
647,64700
648,54200
649,63700
650,64800
651,68800
652,54500
653,44600
654,42700
655,71000
656,40800
657,26700
658,49100
659,41000
660,47500
661,52800
662,62600
663,55500
664,55800
665,35100
666,61800
667,55200
668,52900
669,35600
670,52600
671,43900
672,43300
673,45800
674,63400
675,38400
676,58300
677,62500
678,50900
679,57500
680,41500
681,30800
682,34900
683,60300
684,31600
685,57900
686,49100
687,64200
688,39800
689,59800
690,51400
691,44600
692,48600
693,58500
694,52600
695,18400
696,57200
697,50200
698,44000
699,61300
700,50700
701,29200
702,61800
703,39000
704,60300
705,51900
706,32600
707,52100
708,38900
709,52800
710,43900
711,42800
712,50300
713,67600
714,60200
715,52600
716,48900
717,51900
718,58800
719,66500
720,64300
721,52900
722,32600
723,53700
724,42200
725,40900
726,50500
727,64700
728,35500
729,48400
730,60100
731,51000
732,56600
733,32000
734,61000
735,37100
736,67500
737,55900
738,29400
739,32800
740,55400
741,39200
742,45600
743,47300
744,62000
745,49100
746,49300
747,55700
748,62200
749,62400
750,63500
751,51800
752,35700
753,35900
754,38100
755,64300
756,61300
757,58200
758,61600
759,59300
760,44600
761,28800
762,44800
763,50000
764,46700
765,42100
766,55800
767,52600
768,63400
769,55400
770,58400
771,52600
772,55300
773,61700
774,40500
775,37700
776,51600
777,59800
778,49600
779,46000
780,62600
781,43400
782,47500
783,56100
784,59600
785,52300
786,59600
787,51200
788,40400
789,57900
790,46800
791,67100
792,48600
793,32700
794,35000
795,54400
796,57100
