,income
294,8300
295,26800
296,37100
297,44600
298,21900
299,30200
300,23400
301,29200
302,37700
303,36300
304,34000
305,26200
306,13300
307,34400
308,26300
309,41600
310,31400
311,24000
312,19300
313,19700
314,34300
315,27900
316,25500
317,23900
318,25600
319,27100
320,33200
321,13100
322,26500
323,13700
324,600
325,37600
326,28800
327,14700
328,29700
329,30200
330,15600
331,27100
332,17700
333,31700
334,34700
335,29900
336,31000
337,27300
338,23700
339,12700
340,28800
341,22600
342,37100
343,29300
344,32400
345,29600
346,36200
347,9500
348,10300
349,24600
350,32300
351,33500
352,27400
353,37200
354,24800
355,22000
356,27000
357,34900
358,34800
359,13100
360,26300
361,27200
362,26000
363,17100
364,27900
365,20200
366,26500
367,25200
368,26600
369,31200
370,36600
371,23000
372,2900
373,28700
374,37100
375,25900
376,26500
377,28300
378,31700
379,37900
380,21300
381,33100
382,17500
383,45400
384,17500
385,34500
386,15700
387,30500
388,8300
389,33900
390,22000
391,19700
392,11500
393,37000
394,29600
395,24900
396,29400
397,30700
398,27200
399,24000
400,30400
401,36300
402,25800
403,30600
404,28600
405,32200
406,17300
407,23600
408,36500
409,27500
410,34100
411,39300
412,16600
413,36500
414,20300
415,22400
416,31800
417,33200
418,26800
419,35400
420,43600
421,31800
422,36200
423,20700
424,38100
425,11700
426,32900
427,26400
428,27800
429,11200
430,36500
431,22000
432,32500
433,21500
434,34900
435,21700
436,29900
437,32800
438,23100
439,23000
440,25600
441,32200
442,22400
443,32300
444,17600
445,32100
446,32400
447,23800
448,28200
449,30900
450,21800
451,34600
452,12200
453,30100
454,27100
455,31200
456,32300
457,30800
458,21400
459,35100
460,37800
461,14800
462,40400
463,26600
464,19100
465,25800
466,34000
467,30700
468,31200
469,20400
470,28500
471,0
472,25000
473,22700
474,29600
475,27200
476,28700
477,41400
478,37500
479,26900
480,27500
481,35500
482,11700
483,32800
484,34400
485,33600
486,27200
487,21900
488,34900
489,26500
490,33900
491,31800
492,27100
493,36300
494,26800
495,25500
496,26000
497,13600
498,34300
499,26600
500,22500
501,13000
502,13700
503,39800
504,27400
505,28000
506,26100
507,42000
508,23800
509,18700
510,28000
511,25000
512,35900
513,25100
514,17900
515,30900
516,31200
517,24100
518,35000
519,20000
520,31500
521,17600
522,24200
523,41400
524,38600
525,45500
526,29300
527,30400
528,18800
529,33100
530,27600
531,15800
532,25900
533,21600
534,29700
535,28900
536,27100
537,34800
538,26000
539,23300
540,26600
541,23600
542,19700
543,33600
544,19200
545,28200
546,25400
547,23600
548,35200
549,43800
550,7500
551,28900
552,32100
553,20600
554,24800
555,18800
556,39000
557,29100
558,21700
559,22300
560,27900
561,20600
562,26700
563,18700
564,24300
565,17200
566,23500
567,33100
568,34800
569,19800
570,7300
571,20600
572,31800
573,30300
574,29900
575,29700
576,40900
577,13300
578,8700
579,35200
580,39800
581,10700
582,0
583,21200
584,21900
585,30900
586,22700
587,36300
588,31300
589,20900
590,13300
591,29000
592,24500
593,31000
594,32200
595,37800
596,27200
597,34000
598,37000
599,27900
600,38000
601,33800
602,24300
603,19000
604,33000
605,26800
606,22800
607,14600
608,26100
609,23300
610,32800
611,18700
612,21500
613,31600
614,16800
615,4100
616,27300
617,40500
618,25500
619,32300
620,19300
621,34600
622,14900
623,27000
624,22300
625,23400
626,6600
627,29700
628,31000
629,31400
630,36900
631,32200
632,20200
633,23600
634,33800
635,32400
636,32300
637,13300
638,22000
639,18800
640,20400
641,31700
642,7300
643,19600
644,23300
645,36000
646,38000
647,28700
648,32700
649,27400
650,18600
651,21400
652,25800
653,29600
654,34000
655,27200
656,31900
657,20000
658,35300
659,15900
660,42800
661,25600
662,27700
663,21300
664,18600
665,26500
666,39300
667,10700
668,31500
669,28200
670,6700
671,38100
672,35100
673,38600
674,31600
675,22100
676,11800
677,23800
678,20000
679,31600
680,33800
681,35100
682,38100
683,30300
684,26100
685,15900
686,15200
687,26200
688,15700
689,35100
690,26200
691,27000
692,23900
693,24800
694,29200
695,25100
696,44100
697,32200
698,9100
699,18500
700,18700
701,35900
702,23600
703,15400
704,33900
705,36400
706,9600
707,22700
708,30900
709,20900
710,27300
711,22200
712,26400
713,26300
714,31700
715,24100
716,39400
717,21100
718,26500
719,30500
720,29900
721,29200
722,16300
723,17300
724,30700
725,28300
726,30100
727,29000
728,27800
729,24000
730,30200
731,27900
732,17000
733,32500
734,16700
735,34700
736,17000
737,21600
738,34500
739,30900
740,35700
741,42600
742,29500
743,36800
744,13300
745,23400
746,31900
747,26200
748,32100
749,13000
750,12300
751,24400
752,27900
753,37900
754,28300
755,27700
756,19600
757,28100
758,25500
759,28300
760,38700
761,4200
762,23100
763,18000
764,10600
765,18600
766,28200
767,22500
768,21500
769,18400
770,15700
771,33500
772,28000
773,16600
774,41000
775,17900
776,16800
777,23100
778,12900
779,31900
780,38800
781,34100
782,29000
783,32800
784,16100
785,11900
786,34400
787,15600
788,25700
789,30700
790,38200
791,23100
792,21700
793,37600
794,28700
795,33800
796,36800
