,income
335,54200
336,63400
337,54500
338,60600
339,51200
340,52900
341,56700
342,52700
343,56500
344,45800
345,60800
346,55200
347,65500
348,66700
349,52100
350,66300
351,54500
352,28600
353,28700
354,47100
355,37100
356,63400
357,58200
358,60100
359,55100
360,37300
361,60200
362,55400
363,45600
364,48000
365,58000
366,48900
367,37900
368,48300
369,54700
370,56900
371,60100
372,48300
373,54500
374,54400
375,53200
376,54100
377,43800
378,58000
379,46400
380,44200
381,55800
382,51100
383,59300
384,59000
385,61600
386,59000
387,41500
388,38700
389,29300
390,52900
391,52100
392,56200
393,49400
394,46600
395,56000
396,41900
397,56900
398,38400
399,59400
400,43700
401,51600
402,59800
403,33200
404,58100
405,48600
406,64200
407,55000
408,53700
409,59000
410,35900
411,57900
412,58400
413,58100
414,49200
415,55100
416,39700
417,55500
418,63500
419,58000
420,46800
421,36900
422,53900
423,52100
424,61400
425,42400
426,55500
427,43700
428,60700
429,48800
430,56200
431,59200
432,58100
433,48500
434,58100
435,47800
436,58700
437,63100
438,59500
439,54600
440,56900
441,59700
442,53600
443,60800
444,61400
445,60900
446,38700
447,53400
448,58500
449,31700
450,52000
451,63500
452,57400
453,28500
454,40100
455,53700
456,54100
457,53200
458,47200
459,60500
460,58300
461,66500
462,54200
463,47400
464,55400
465,50300
466,39100
467,55300
468,47900
469,63000
470,54000
471,10300
472,50000
473,56000
474,46900
475,60100
476,57700
477,59900
478,69000
479,53000
480,48400
481,61000
482,51700
483,31200
484,53200
485,46600
486,33100
487,64200
488,58200
489,60000
490,58100
491,57400
492,66100
493,62500
494,30000
495,49400
496,52100
497,52300
498,51100
499,57100
500,41500
501,32500
502,62800
503,62000
504,45200
505,51400
506,55500
507,36600
508,56300
509,34600
510,30500
511,71600
512,41400
513,63500
514,43600
515,42900
516,61100
517,62500
518,50000
519,47800
520,53700
521,42800
522,45700
523,60000
524,51000
525,53900
526,35400
527,48300
528,44100
529,57700
530,59000
531,53200
532,63600
533,48400
534,51200
535,28800
536,54500
537,59800
538,36300
539,49700
540,52000
541,55000
542,42000
543,54100
544,32400
545,68200
546,55700
547,44900
548,62600
549,26000
550,43900
551,29900
552,60500
553,60800
554,42800
555,53900
556,49100
557,66400
558,51800
559,66900
560,59700
561,57600
562,44300
563,59500
564,46800
565,53400
566,43500
567,44200
568,53800
569,62200
570,59700
571,48800
572,58000
573,51000
574,58600
575,61900
576,57800
577,57600
578,49200
579,61400
580,51300
581,59700
582,16300
583,52300
584,58800
585,51000
586,50900
587,54600
588,50600
589,46200
590,46800
591,43100
592,59800
593,59000
594,57400
595,61900
596,50400
597,37500
598,54500
599,33600
600,59300
601,66100
602,59000
603,60300
604,67000
605,30200
606,55500
607,40000
608,35500
609,50000
610,55300
611,63100
612,72100
613,38500
614,54900
615,59700
616,58700
617,40200
618,62900
619,52300
620,51100
621,65200
622,60700
623,49700
624,54400
625,64800
626,61400
627,33700
628,46800
629,59300
630,61200
631,67800
632,34100
633,64800
634,28700
635,61600
636,54500
637,60100
638,50100
639,63800
640,49700
641,66900
642,45400
643,48400
644,41800
645,35200
646,67400
647,39800
648,60700
649,51800
650,39500
651,46600
652,56800
653,51600
654,61400
655,50000
656,46500
657,54100
658,45900
659,34400
660,57400
661,52300
662,62900
663,52400
664,60300
665,57500
666,60200
667,41000
668,49500
669,44100
670,26500
671,67600
672,63100
673,37000
674,50000
675,43400
676,57500
677,57800
678,46600
679,57700
680,43700
681,37000
682,50200
683,42400
684,52800
685,46900
686,45200
687,45500
688,34100
689,55000
690,45200
691,41900
692,58000
693,47300
694,55700
695,54400
696,45100
697,55100
698,56500
699,61100
700,44900
701,51100
702,34600
703,46800
704,63700
705,62800
706,36900
707,52300
708,53400
709,49700
710,46300
711,61500
712,47500
713,64400
714,55800
715,50400
716,53300
717,59000
718,53600
719,51600
720,34700
721,53100
722,48400
723,53900
724,26600
725,59100
726,48500
727,40100
728,67900
729,43700
730,66600
731,61000
732,36600
733,39600
734,66800
735,56700
736,63200
737,63100
738,49000
739,54400
740,62000
741,52000
742,46600
743,48800
744,66500
745,44100
746,38600
747,56200
748,39800
749,70100
750,68900
751,49400
752,50100
753,39400
754,49700
755,57700
756,55200
757,39100
758,22400
759,52200
760,45600
761,56000
762,63900
763,61900
764,43600
765,36200
766,53100
767,48300
768,49800
769,49300
770,36400
771,51900
772,55400
773,46200
774,62600
775,60100
776,43400
777,46100
778,45900
779,31500
780,39300
781,59500
782,65900
783,53100
784,45600
785,44500
786,52700
787,58300
788,42400
789,39900
790,46800
791,46900
792,54100
793,50200
794,46300
795,53700
796,50500
