,income
418,66100
419,46500
420,54100
421,51800
422,46600
423,67500
424,39300
425,57000
426,64400
427,40000
428,56400
429,65600
430,63600
431,60000
432,53200
433,51400
434,59900
435,44300
436,48100
437,51300
438,57600
439,63300
440,55600
441,57300
442,49800
443,39500
444,62900
445,51100
446,49000
447,53300
448,59300
449,49800
450,55000
451,58100
452,63000
453,63400
454,63500
455,48900
456,53300
457,54600
458,55800
459,25600
460,57300
461,40200
462,53800
463,67800
464,49600
465,58000
466,49200
467,46800
468,38000
469,54700
470,32600
471,8500
472,50200
473,61300
474,43700
475,43900
476,44300
477,46400
478,57500
479,51800
480,64200
481,58500
482,60300
483,53300
484,61300
485,28800
486,57000
487,43200
488,55700
489,24400
490,56900
491,54100
492,59300
493,52000
494,67700
495,33800
496,51900
497,52800
498,65200
499,55000
500,52100
501,68500
502,39700
503,52300
504,31100
505,44900
506,55100
507,48400
508,55500
509,50300
510,67600
511,31700
512,58400
513,47400
514,72500
515,55500
516,61700
517,63700
518,18500
519,44000
520,57800
521,44300
522,44200
523,30700
524,53800
525,55600
526,61200
527,64200
528,55700
529,43000
530,59700
531,55200
532,58800
533,39900
534,57700
535,56200
536,50700
537,55800
538,55400
539,47200
540,55300
541,47900
542,50500
543,48200
544,37700
545,48700
546,37300
547,51000
548,57100
549,57800
550,46700
551,57500
552,61600
553,56500
554,38800
555,43100
556,74700
557,45200
558,62700
559,55000
560,61000
561,62500
562,23600
563,57300
564,59000
565,72700
566,52400
567,43200
568,56700
569,69600
570,25700
571,55500
572,54500
573,42200
574,55400
575,40500
576,57000
577,62300
578,30800
579,62200
580,47800
581,50300
582,8400
583,48500
584,39300
585,55000
586,58400
587,54300
588,42000
589,61700
590,64400
591,51800
592,61300
593,60200
594,50900
595,55300
596,52600
597,38800
598,52800
599,52800
600,57200
601,47600
602,37100
603,28700
604,43400
605,62900
606,58300
607,57500
608,64400
609,57700
610,47300
611,57900
612,63900
613,50800
614,49600
615,23100
616,31200
617,41400
618,58900
619,55800
620,29100
621,53700
622,56900
623,42000
624,54800
625,62900
626,53600
627,59000
628,54700
629,49400
630,49000
631,47200
632,54200
633,70800
634,55300
635,54100
636,28100
637,48400
638,56400
639,52200
640,54800
641,56800
642,30100
643,42200
644,56300
645,49900
646,48400
647,51900
648,50700
649,58300
650,55800
651,41200
652,54800
653,49200
654,51300
655,47400
656,51500
657,41800
658,58900
659,52200
660,58000
661,37500
662,59300
663,54500
664,30400
665,66100
666,50900
667,51200
668,44900
669,63700
670,62500
671,53900
672,62900
673,72200
674,58500
675,67400
676,50800
677,53700
678,52500
679,59600
680,51800
681,47400
682,66900
683,50900
684,52600
685,61300
686,61900
687,59000
688,48700
689,73200
690,56300
691,38200
692,47100
693,71900
694,49100
695,68600
696,61200
697,59100
698,38200
699,40100
700,74300
701,45600
702,57700
703,51900
704,55600
705,59200
706,59000
707,53800
708,57000
709,42400
710,61300
711,39400
712,51700
713,63300
714,54100
715,57300
716,55400
717,51300
718,53600
719,54000
720,68200
721,59500
722,52700
723,54600
724,36500
725,64600
726,43700
727,60000
728,67200
729,64600
730,64800
731,66300
732,60400
733,55200
734,50500
735,55400
736,56200
737,64900
738,33200
739,26300
740,55700
741,55400
742,42900
743,53100
744,55900
745,59800
746,68900
747,60000
748,65400
749,66900
750,41600
751,37900
752,60300
753,62100
754,68800
755,60400
756,63800
757,64300
758,65800
759,58300
760,59100
761,58800
762,63100
763,51300
764,65500
765,57600
766,51100
767,59700
768,50300
769,47200
770,49200
771,67600
772,53100
773,42500
774,43500
775,48700
776,65800
777,33200
778,37700
779,58900
780,62500
781,52500
782,54700
783,33400
784,52900
785,57500
786,66000
787,56600
788,72800
789,61900
790,52400
791,59300
792,52000
793,59900
794,58500
795,59200
796,67400
